,sentence_normal,sentence_leicht,score
3454,Die Rehabilitationsträger beraten Sie zum Persönlichen Budget.,"['Seit Juli 2001 gibt es das Persönliche Budget.', 'Welche Personen sie unterstützen sollen.', 'Wie die Hilfen genau sein sollen.']","[0.541631281375885, 0.17903414368629456, 0.2887427806854248]"
3455,Für ein Persönliches Budget müssen Menschen mit Behinderungen einen entsprechenden Antrag beim Leistungsträger stellen.,"['Dieses Geld bekommen behinderte Menschen.', 'Behinderte Menschen können mit dem Persönlichen Geld selbst bestimmen: Welche Hilfen sie brauchen.', 'PDF, 471 KB, Datei ist nicht barrierefrei.']","[0.5420559644699097, 0.7498659491539001, 0.21509546041488647]"
3456,"Hilfreiche Links Persönliches Budget Informationen zum Persönlichen Budget auf der Internetseite des Bundesministeriums für Arbeit und Soziales, Internetangebot der Bundesarbeitsgemeinschaft für Rehabilitation, Forum selbstbestimmter Assistenz behinderter Menschen e. V. Interessenvertretung Selbstbestimmt Leben e. V.",['Weitere Informationen Mit Behinderung selbstbestimmt leben.'],[0.5764850378036499]
3457,Deshalb gewährt die Pflegeversicherung Leistungen zur sozialen Sicherung der Pflegepersonen.,['Sie können Geld und Hilfen vom Staat bekommen.'],[0.3279038369655609]
3458,"Sie erhalten diese Beiträge jedoch nicht, wenn Sie bereits Beiträge zur Arbeitslosenversicherung zahlen, zum Beispiel durch eine Teilzeitbeschäftigung.",['Diese Menschen sollen trotzdem genug Geld zum Leben haben.'],[0.2630327343940735]
3459,"Sie sind in diesem Rahmen während der Pflegetätigkeiten und bei allen Tätigkeiten und Wegen, die mit der Pflege zusammenhängen, gegen Unfallfolgen abgesichert.","['Unfälle oder Krankheiten machen das Leben manchmal schwer. Zum Beispiel: Wenn eine Person nicht mehr arbeiten kann, weil sie einen schlimmen Unfall hatte. Oder wenn die Person Pflege braucht.']",[0.4777336120605469]
3460,"Außerdem gibt es Musterformulare in deutscher Sprache, sowie zweisprachige Formulare in deutsch-englisch, deutsch-französisch, deutsch-italienisch, deutsch-russisch, deutsch-türkisch und deutsch-ukrainisch. zur Vorsorgevollmacht, zur Betreuungsverfügung, zum Antrag auf Eintragung einer Vorsorgevollmacht beim Zentralen Vorsorgeregister und auf Eintragung weiterer Bevollmächtigter bzw. Betreuer zur Vorsorgevollmacht, zur Konto- / Depotvollmacht( nur in deutscher Sprache).",['Bei Briefen vom Amt.'],[0.14744612574577332]
3461,Das Selbstbestimmungsrecht des betroffenen Menschen soll dabei gewahrt bleiben; d. h. dass der Wunsch und Wille der betreuten Person Maßstab des Betreuerhandelns sind.,['Die rechtliche Betreuung soll sich nach den Wünschen der Person richten.'],[0.7898730039596558]
3462,"Erläutert werden dort: die Voraussetzungen für eine Betreuung, die Auswirkungen der Betreuung, die Auswahl des Betreuers bzw. der Betreuerin, die Aufgaben des Betreuers bzw. der Betreuerin, der Schutz in persönlichen Angelegenheiten, die Tätigkeit des Betreuers bzw. der Betreuerin in vermögensrechtlichen Angelegenheiten, die Rechte des Betreuers bzw. der Betreuerin, das gerichtliche Verfahren und, die Vorsorgevollmacht.","['Diese Hilfen nennt man rechtliche Betreuung.', 'Man sagt auch: gesetzliche Betreuung.']","[0.6200389266014099, 0.5238047242164612]"
3463,"Hilfreiche LinksBMJ | Rechtliche Betreuung, Broschüre des Bundesministeriums der Justiz zum Betreuungsrecht PDF, 449 KB, Datei ist barrierefrei / barrierearm, Broschüre: Betreuung - was ist das? in Leichter Sprache PDF, 2 MB, Datei ist nicht barrierefrei, Vererben zugunsten behinderter Menschen PDF, 203 KB, Datei ist nicht barrierefrei.","['Mehr dazu Broschüre: Betreuung - was ist das? in Leichter Sprache PDF, 2 MB, Datei ist nicht barrierefrei.']",[0.7486834526062012]
3464,"In der Praxis sieht das so aus, dass eine vom Betreuungsgericht bestellte rechtliche Be-treuerin oder ein rechtlicher Betreuer die betroffene volljährige Person in einem gerichtlich genau festgelegten Aufgabenkreis bei der Ausübung ihrer rechtlichen Handlungsfähigkeit unterstützt und, soweit erforderlich, rechtlich vertreten kann.",['Dann kann die Person bei diesen Sachen Hilfe bekommen.'],[0.302641898393631]
3465,"Rechtlich betreut werden Volljährige, die aufgrund einer Krankheit oder einer Behinderung ihre rechtlichen Angelegenheiten ganz oder teilweise nicht mehr selbstständig regeln können.","['Manche Menschen können nicht alles alleine entscheiden. Zum Beispiel: alte Menschen. Menschen mit Behinderungen.', 'Die Menschen brauchen vielleicht Hilfe bei wichtigen Entscheidungen. Zum Beispiel: Beim Einteilen vom Geld. Bei der Gesundheit.']","[0.549109160900116, 0.3377498686313629]"
3466,Viele der Betroffenen sind ältere Menschen.,['Menschen mit schweren Krankheiten.'],[0.2663930356502533]
3467,Brauche ich eine Krankenversicherung?,['Brauche ich eine Kranken-Versicherung?'],[0.992020845413208]
3468,Dann erhalten Sie in der Regel auch keine Eingliederungshilfe für Menschen mit Behinderungen.,['Dann erhalten Sie meistens auch keine Hilfe für Menschen mit Behinderungen.'],[0.9162693023681641]
3469,Das sollten Sie im ersten Gespräch bei der Beratungsstelle erwähnen.,['Sagen Sie das der Beratungs-Stelle.'],[0.6257874965667725]
3470,"Dazu zählen zum Beispiel eine barrierefreie Unterkunft, die medizinische Betreuung und die Versorgung mit Hilfsmitteln.","['Dazu gehört zum Beispiel: eine barrierefreie Unterkunft.', 'Ärztliche Betreuung, Versorgung mit Hilfsmitteln.']","[0.6733397841453552, 0.529000997543335]"
3471,"Die Beraterinnen und Berater entwickeln mit Ihnen einen individuellen Plan, um ihnen das Ankommen in Deutschland zu erleichtern.","['Sie machen mit Ihnen einen Plan.', 'Damit Sie Deutschland schnell kennen-lernen.']","[0.2463662326335907, 0.46863722801208496]"
3472,Die Bundesregierung und UNICEF haben 2016 die Initiative „ Schutz von geflüchteten Menschen in Flüchtlingsunterkünften “ ins Leben gerufen.,['Die deutsche Regierung und UNICEF haben zusammen eine Aktion angefangen. Die heißt: „ Schutz von geflüchteten Menschen in Flüchtlingsunterkünften “. Sie hilft Geflüchteten.'],[0.8653225302696228]
3473,Die Einwanderung in ein neues Land stellt Menschen vor viele Herausforderungen: Wo kann ich die Sprache erlernen?,"['Die Einwanderung in ein neues Land ist schwierig.', 'Es gibt viele Probleme. Zum Beispiel: Wo kann ich die Sprache lernen?']","[0.7599213123321533, 0.6900189518928528]"
3474,Die Initiative hat Standards zum Schutz von besonders schutzbedürftigen Personengruppen in den Flüchtlingsunterkünften definiert.,['Die einen besonderen Schutz brauchen. Zum Beispiel bei der ärztlichen Versorgung.'],[0.4592251777648926]
3475,"Die Mitarbeiterinnen und Mitarbeiter in den Migrationsberatungen für erwachsene Zuwanderer( MBE) helfen ihnen ab dem ersten Tag in Deutschland, häufig auch in Ihrer Muttersprache.","['Dabei helfen die Mitarbeiterinnen und Mitarbeiter in den Migrations-Beratungen.', 'Sie können auch oft Ihre Mutter-Sprache.']","[0.607200562953949, 0.2540695071220398]"
3476,"Diese Organisationen bieten eine kostenlose Migrationsberatung an: Arbeiterwohlfahrt, Deutscher Caritasverband, Diakonisches Werk der Evangelischen Kirchen in Deutschland, Deutscher Paritätischer Wohlfahrtsverband, Deutsches Rotes Kreuz, Zentralwohlfahrtsstelle der Juden in Deutschland, Bund der Vertriebenen.","['Hier bekommen Sie Hilfe: Arbeiterwohlfahrt, Deutscher Caritasverband, Diakonisches Werk der Evangelischen Kirchen in Deutschland, Deutscher Paritätischer Wohlfahrtsverband, Deutsches Rotes Kreuz, Zentralwohlfahrtsstelle der Juden in Deutschland, Bund der Vertriebenen.']",[0.9357607960700989]
3477,Diese arbeiten in der Regel zusammen.,"['Kurz sagt man dazu MBE.', 'Manchmal gibt es auch: Selbsthilfe-Gruppen.']","[0.09249754995107651, 0.4674597680568695]"
3478,"Für Geflüchtete mit Behinderungen ergibt sich häufig ein zusätzliches Problem: Sie wissen nicht, welche Hilfen Sie bekommen können.","['Geflüchtete mit Behinderungen haben oft noch ein Problem: Welche Hilfe kann ich bekommen?', 'Dann treffen sich Menschen mit den gleichen Problemen. Sie sind geflüchtet.']","[0.9169086813926697, 0.3875619173049927]"
3479,Für Härtefälle gibt es oft gesonderte Hilfen.,['Die Beratungs-Stelle kann Ihnen oft trotzdem helfen.'],[0.4273686110973358]
3480,Geflüchtete und Asylsuchende mit Behinderungen stehen in Europa unter besonderem Schutz.,['Geflüchtete mit Behinderungen bekommen in Europa einen besonderen Schutz.'],[0.9429216980934143]
3481,"Hilfreiche Links Migrationsberatung für Erwachsene( MBE), Mindeststandards zum Schutz von geflüchteten Menschen in Flüchtlingsunterkünften, Refugee Toolbox, Selbsthilfe- und Informationsplattform in Deutsch und Türkisch.","['Hilfreiche Internet-Links Migrationsberatung für Erwachsene( MBE), Mindeststandards zum Schutz von geflüchteten Menschen in Flüchtlingsunterkünften, Refugee Toolbox, Selbsthilfe- und Informationsplattform in Deutsch und Türkisch.']",[0.9962812066078186]
3482,Sie sind geflüchtet und haben keine Aufenthaltsgenehmigung?,['Sie haben aber keine Aufenthalts-Genehmigung.'],[0.7225635647773743]
3483,"Sie unterstützen sie bei allen Fragen rund um die Themen Spracherwerb, Schule, Beruf, Wohnen, Gesundheit, Ehe, Familie und Erziehung.","['Sie helfen bei den Themen: Sprache lernen, Schule, Wohnen, Gesundheit, Ehe, Familie, Erziehung.']",[0.9056539535522461]
3484,"Welche Hilfen Geflüchteten mit Behinderungen erhalten können, erfahren sie bei verschiedenen Beratungsstellen.","['Damit Geflüchtete gesund bleiben. Oder wieder gesund werden. Es gibt Beratungs-Stellen. Die sagen Ihnen.', 'Wer Ihnen helfen kann.', 'Es gibt: Beratungs-Stellen für Geflüchtete.', 'Beratungs-Stellen für Menschen mit Behinderungen.']","[0.5995697975158691, 0.21128351986408234, 0.6367326974868774, 0.7692122459411621]"
3485,Wie finde ich eine Wohnung?,['Wie finde ich eine Wohnung?'],[1.0000001192092896]
3486,Damit unterstützt der Bund auch die Beseitigung von Barrieren im Wohnbereich.,"['Damit sie ohne Hilfe in ihre Wohnung kommen kann, braucht die Person eine Rampe.', 'Damit die Rampe gebaut wird.']","[0.3484501540660858, 0.2873884439468384]"
3487,"Das Wohnraumförderungsgesetz( WoFG) unterstützt Menschen mit Behinderungen und ältere Menschen, die sich nicht angemessen mit Wohnraum versorgen können.","['Damit behinderte Menschen in einer eigenen Wohnung leben können, können sie Geld bekommen. Zum Beispiel: Wenn die Wohnung umgebaut werden muss. Oder das Haus umgebaut werden muss. Zum Beispiel: Eine Person sitzt im Rollstuhl.']",[0.6751232147216797]
3488,Sie können im Bereich Bauen und Wohnen Unterstützung durch den Staat sowie durch Stiftungen erhalten.,['Das Geld für den Umbau bekommt die Person vom Staat.'],[0.5162537097930908]
3489,"Welche Förderung Sie beantragen können, hängt dabei vom Einzelfall ab.",['Dafür muss die Person einen Antrag schreiben.'],[0.301270067691803]
3490,Wohngeld Durch das Wohngeldgesetz( WoGG) können Menschen Mietzuschüsse erhalten.,"['Die Person kann Geld bekommen.', 'Damit sie das Geld für die Rampe bekommt.']","[0.27143678069114685, 0.2652549743652344]"
3491,"Auch andere mobilitätseingeschränkte Personengruppen, zum Beispiel Eltern mit Kleinkindern, Unfallgeschädigte oder Senioren, profitieren von Maßnahmen der Barrierefreiheit.",['Diese Infos sind für Menschen mit Behinderung sehr wichtig.'],[0.5936415195465088]
3492,Auf der Website https://www.reisen-fuer-alle.de/ finden Sie fast 2.500 geprüfte Urlaubs- und Ausflugsideen in Deutschland.,['Sie sollen reisen können wohin sie wollen.'],[0.35605388879776]
3493,Barrierefreiheit ist nicht nur für behinderte Menschen Voraussetzung eines selbstbestimmten Lebens und eines stressfreien Urlaubs.,"['Menschen mit Behinderung sollen überall mitmachen können.', 'Dafür brauchen Menschen mit Behinderung gute Informationen zum Thema: Reisen.', 'Welche Freizeit-Angebote gibt es für Menschen mit Behinderung?']","[0.6240963935852051, 0.6470145583152771, 0.6311258673667908]"
3494,Die Herbergen sind überwiegend rollstuhlgerecht.,"['Gibt es Busse und Bahnen mit Rampen?', 'Gibt es Hotels für Rollstuhl-Fahrer und Rollstuhl-Fahrerinnen?']","[0.40839990973472595, 0.6277194619178772]"
3495,"Ideen für Urlaub, Auszeit und Ausflüge Einige besonders engagierte Orte und Regionen in Deutschland haben für Sie eine große Auswahl an verschiedenen Ideen und Möglichkeiten zusammengestellt, wie Sie ein paar schöne Tage verbringen können.","['Denn Urlaub ist gut für alle Menschen.', 'Sie müssen zum Beispiel wissen: Wie komme ich gut an den Urlaubs-Ort?', 'Kann ich am Urlaubs-Ort ohne fremde Hilfe einkaufen?', 'Damit sie ihren Urlaub selbst-bestimmt machen können. Und sich wohl fühlen.']","[0.461585134267807, 0.491374135017395, 0.26997122168540955, 0.45402103662490845]"
3496,Behinderungen und Schwerbehinderungen können im Alltag zu Nachteilen führen.,"['Menschen mit Behinderungen haben oft Nachteile im alltäglichen Leben. Das heißt: Oft sind Sachen für behinderte Menschen besonders schwer. Zum Beispiel: Eine Person mit einer Geh-Behinderung kann nicht lange laufen. Oder eine blinde Frau kann nicht selbst Auto fahren.', 'Das sind Nachteile wegen der Behinderung.', 'Deshalb können behinderte Menschen Hilfen für diese Nachteile bekommen.']","[0.706214964389801, 0.7519766092300415, 0.6766598224639893]"
3497,"Nachteilsausgleiche sind z. B. unentgeltliche Beförderung im öffentlichen Personenverkehr( "" Freifahrt ""), Steuerliche Erleichterungen, Parken( Benutzung von Behindertenparkplätzen, Parkerleichterungen), Vergünstigungen bei Bussen und Bahnen, Rundfunkbeitragsermäßigung, Ermäßigter Eintritt zu Veranstaltungen oder, im Arbeitsleben auch Zusatzurlaub und Kündigungsschutz.",['Diese Hilfen heißen: Nachteils-Ausgleiche. Zum Beispiel: Behinderte Menschen können auf Park-Plätzen für behinderte Menschen parken. Und behinderte Menschen können kostenlos mit dem Bus oder der Bahn fahren.'],[0.8208542466163635]
3498,Darüber hinaus gibt es zahlreiche Angebote verschiedener Wohnformen und Konzepte des Betreuten Wohnens.,['Es gibt viele verschiedene Wohn-Formen für alte Menschen. Zum Beispiel: Wohnen in der eigenen Wohnung. Betreutes Wohnen. Wohnen im Pflege-Heim.'],[0.7822096347808838]
3499,Das ist heute einfacher als früher: Denn eine barrierefreie Einrichtung ermöglicht älteren Menschen oder Menschen mit Behinderungen ihr eigenes Heim möglichst sicher und selbstbestimmt zu nutzen.,"['Alte Menschen brauchen oft besondere Hilfen beim Wohnen. Zum Beispiel: Eine barriere-freie Wohnung.', 'Damit man auch mit dem Rollstuhl oder mit einer Geh-Hilfe gut in der Wohnung leben kann.']","[0.77386474609375, 0.5908196568489075]"
3500,Das unmittelbare Wohnumfeld hat einen großen Einfluss auf die gefühlte Lebensqualität.,['Wohnen ist für alle Menschen wichtig.'],[0.5886998176574707]
3501,So leben ältere Menschen gerne möglichst lange in ihrer Wohnung oder ihrem eigenen Heim.,"['Damit alle Menschen so wohnen können, wie sie wollen. Auch alte Menschen.']",[0.6690113544464111]
3502,"Zahlreiche Informationen und Beratungsstellen unterstützen Sie bei der Beschaffung, beim Erwerb oder bei Umbaumaßnahmen.",['Unterstützungs-Personen für die Pflege. Oder Hilfen für den Haushalt.'],[0.46953919529914856]
3503,Die gesetzliche Rentenversicherung bildet die Regelsicherung.,['Die Gesetzliche Renten-Versicherung zahlt die Rente für ältere Menschen.'],[0.7882629036903381]
3504,"Oftmals kommt die Frage auf, welche Ansprüche auf Leistungen im Alter bestehen.","['Wenn ältere Menschen nicht mehr arbeiten, bekommen sie Rente.', 'Sie wollen wissen: Wie viel Geld bekomme ich?']","[0.6337787508964539, 0.30327433347702026]"
3505,"Allmählich wächst das Bewusstsein dafür, dass Menschen mit Behinderungen besonderen Risiken ausgesetzt sind und einen stärkeren Schutz vor Gewalt benötigen.",['Die deutsche Regierung tut auch etwas für Menschen mit einer Behinderung. Und will bei Gewalt helfen.'],[0.6274416446685791]
3506,"Auch für Männer, die Gewalterfahrungen ausgesetzt waren, gibt es einige Beratungsstellen.",['Es gibt auch Hilfe für Männer. bei Männer-Beratungs-Stellen.'],[0.7539429068565369]
3507,Außerdem werden immer mehr Selbstbehauptungs- und Selbstverteidigungskurse für Menschen mit Behinderungen angeboten.,"['Außerdem gibt es Weiter-Bildungen. Und Selbst-Behauptungs-Kurse.', 'Es gibt auch Selbst-Verteidigungs-Kurse für Menschen mit Behinderungen.']","[0.5242923498153687, 0.8934965133666992]"
3508,Das Bundeskabinett verabschiedete am 28. Juni 2016 die zweite Auflage des Nationalen Aktionsplans zur UN-Behindertenrechtskonvention – kurz NAP 2. 0. Der NAP 2.0 setzt auf den ersten Aktionsplan aus dem Jahr 2011 auf.,['Dazu gibt es einen besonderen Plan. Er heißt Nationaler Aktionsplan.'],[0.41159576177597046]
3509,Denn Grenzverletzungen können schleichend beginnen.,['Gewalt fängt oft langsam an.'],[0.510258674621582]
3510,"Die Beratung ist anonym, kostenlos und teilweise rund um die Uhr möglich – telefonisch, per Chat oder persönlich vor Ort.","['Die Beratung kostet kein Geld.', 'Sie müssen Ihren Namen nicht sagen.', 'Oft bekommen Sie den ganzen Tag lang Hilfe. Sie können anrufen. Im Internet schreiben. Zur Beratungs-Stelle gehen.']","[0.30041414499282837, 0.12372015416622162, 0.5690345764160156]"
3511,Die Situationen sind oft unklar und nicht eindeutig.,['Das ist nicht einfach.'],[0.3399098515510559]
3512,Dort erhalten Sie Unterstützung.,"['Da gibt es Hilfe.', 'Dann sollten Sie sich Hilfe holen.']","[0.6752632260322571, 0.484604150056839]"
3513,Einige Fachberatungsstellen haben sich auf die Unterstützung und Beratung von Menschen mit Behinderungen spezialisiert.,"['Es gibt auch Beratungs-Stellen für Menschen mit einer Behinderung.', 'Hier gibt es besonders Hilfe für Mädchen und Frauen mit einer Behinderung.']","[0.8985213041305542, 0.7315530180931091]"
3514,"Für Mädchen, Frauen, Jungen oder Männer mit Behinderungen ist dies oft noch schwerer.",['Besonders für Menschen mit einer Behinderung.'],[0.6305701732635498]
3515,"Hier die verschiedenen Unterstützungs- und Hilfsangebote auf einen Blick: Beratungsstellen, Therapieplätze, Selbstverteidigungskurse, Schulungen, Ärztliche Hilfe, Rechtsberatung, Anwälte, Krankenhaus und Ambulanzen.","['Diese Hilfe gibt es: Beratungs-Stellen, Therapie-Plätze, Selbst-Verteidigungs-Kurse, Schulungen, Hilfe von Ärzten, Hilfe von Anwälten, Krankenhäuser.']",[0.8686651587486267]
3516,Hier finden Sie zahlreiche Hilfsangebote.,['Es gibt Beratungs-Stellen.'],[0.5447850823402405]
3517,"Oft ist den Betroffenen nicht klar, dass sie Gewalt erleben.",['Wenn Sie Gewalt erlebt haben.'],[0.5353487730026245]
3518,"Sie hinterlassen Gefühle aus Ohnmacht, Angst, Schuld und Zweifel.",['Dann erkennt man sie nicht immer sofort. Aber trotzdem fühlen Sie sich schlecht.'],[0.3206935226917267]
3519,Welche Angebote gibt es in Leichter Sprache?,['Dort gibt es Informationen in Leichter Sprache.'],[0.6790755987167358]
3520,Zahlreiche Frauenberatungsstellen und Frauennotrufe unterstützen Frauen mit Gewalterfahrungen.,['Hilfe gibt es für Frauen: bei Frauen-Beratungs-Stellen. bei Frauen-Notrufen.'],[0.8318867683410645]
3521,"Das bedeutet, dass Sie Ihre vertraglich vereinbarte Arbeitszeit( Vollzeit- oder Teilzeitarbeit) für einen bestimmten Zeitraum verringern können.",['Das bedeutet: Man kann weniger arbeiten. Zum Beispiel nur: 4 Stunden am Tag. Oder 6 Stunden am Tag.'],[0.6044184565544128]
3522,Das ist in der Regel kein Problem: Grundsätzlich besteht für Arbeitnehmerinnen und Arbeitnehmer ein Anspruch auf Teilzeitarbeit.,"['Arbeit-Nehmerinnen und Arbeit-Nehmer sind Personen, die arbeiten.', 'Arbeit-Nehmerinnen und Arbeitnehmer haben Rechte. Zum Beispiel: Das Recht auf Teilzeit-Arbeit.']","[0.37094151973724365, 0.7373790740966797]"
3523,Neben dem bestehenden Anspruch auf zeitlich nicht begrenzte Teilzeitarbeit besteht auch ein gesetzlicher Anspruch auf zeitlich begrenzte Teilzeitarbeit( Brückenteilzeit).,['Dafür für gibt ein Gesetz. Das Gesetz heißt in schwerer Sprache: Teilzeit-Gesetz und Befristungs-Gesetz.'],[0.628320574760437]
3524,Wie hoch ist das Gehalt?,['Sie bekommen Geld für ihre Arbeit.'],[0.39308565855026245]
3525,"Deutschlandweit unterstützen sie junge Menschen mit sozialpädagogischer Beratung, individueller Hilfestellung und Bildungsangeboten.",['Die Hilfe gibt es in ganz Deutschland.'],[0.38928765058517456]
3526,"Die Dienste arbeiten eng mit Schulen, Ausbildungsbetrieben, Integrationskursträgern und anderen Einrichtungen der Jugendhilfe zusammen.","['Die Jugend-Migrations-Dienste arbeiten eng mit Anderen zusammen: Schulen, Ausbildungs-Betrieben, Integrations-Kurs-Trägern, Jugend Hilfe.']",[0.9040452241897583]
3527,"Die Jugendmigrationsdienste begleiten Kinder und Jugendliche mit Migrationshintergrund bei ihrer schulischen, beruflichen, sprachlichen und sozialen Integration.",['Man sagt dazu kurz JMD. Die Jugend-Migrations-Dienste helfen Kindern und Jugendlichen aus anderen Ländern:in der Schule. im Beruf. beim Lernen der Sprache. beim Leben in Deutschland.'],[0.8267154693603516]
3528,Familien mit einem Kind mit Behinderungen können zudem die Hilfe von familienunterstützenden Diensten in Anspruch nehmen.,['Familien mit einem behinderten Kind bekommen mehr Hilfe. Von familien-unterstützenden Diensten.'],[0.8880833387374878]
3529,Für geflüchtete Kinder mit Behinderungen ist der Zugang zur schulischen Bildung oft besonders schwierig.,['Für geflüchtete Kinder mit Behinderungen ist das oft besonders schwer.'],[0.835946261882782]
3530,Für junge Zugewanderte ergeben sich ganz spezielle Herausforderungen: Sie müssen zunächst die Schule abschließen oder sich einen Ausbildungsplatz suchen.,"['Junge Geflüchtete haben ganz besondere Probleme: Sie müssen die Schule abschließen, oder einen Beruf lernen.']",[0.8678497076034546]
3531,Gruppenangebote ergänzen diese individuelle Förderung.,['Außerdem gibt es Hilfe für Gruppen.'],[0.6278162002563477]
3532,In solchen Spielgruppen können junge Migrantinnen und Migranten mit Behinderungen Freunde finden und die Sprache lernen. Hilfreiche Links Jugendmigrationsdienste.,"['Sie Machen Spiel-Gruppen für Kinder.', 'Dort können Kinder Freunde finden. Und die Sprache lernen. Hilfreiche Internet-Links Jugendmigrationsdienste.']","[0.42001718282699585, 0.7218908667564392]"
3533,Mit jeder Zuwanderin und jedem Zuwanderer erstellen sie zunächst einen Integrationsförderplan mit den persönlichen Zielen.,"['Menschen kommen in ein fremdes Land.', 'Das nennt man Integration.', 'So sieht die Hilfe aus: Zuerst wird ein Plan gemacht. Der Plan heißt Integrations-Förder-Plan.', 'Darin stehen Ziele für jeden Geflüchteten.']","[0.23091571033000946, 0.35779157280921936, 0.661805272102356, 0.5014151930809021]"
3534,"Sie erhalten bei den Jugendmigrationsdiensten Informationen und Unterstützung zu folgenden Themen: Erziehung, Kindheit und Jugend, Schul- und Ausbildungssystem in Deutschland, Berufsplanung, Umgang mit dem Computer und mit Deutschlernprogrammen.","['Sie müssen die Sprache lernen. Und das Land kennen lernen.', 'Die Jugend-Migrations-Dienste geben Informationen und Hilfe zu folgenden Themen: Erziehung, Kindheit und Jugend, Schulen in Deutschland, Ausbildung in Deutschland, Berufs-Planungs-Arbeiten mit dem Computer, Arbeiten mit Deutschlern-Programmen.']","[0.30161747336387634, 0.9669280052185059]"
3535,Sie geben Ihnen Adressen von Einrichtungen der Behindertenhilfe und bieten Gesprächskreise für Mütter sowie Freizeitangebote für die Kinder an.,"['Sie wissen, wo Sie Hilfe bekommen.', 'Sie machen Gesprächs-Gruppen für Mütter.']","[0.25982290506362915, 0.5448914766311646]"
3536,Unterstützung erhalten sie von den Jugendmigrationsdiensten( JMD).,"['Sie bekommen von den Jugend-Migrations-Diensten Hilfe.', 'Auch die Eltern von geflüchteten Jugendlichen bekommen Hilfe.']","[0.8932065367698669, 0.5951772928237915]"
3537,Unterstützung leisten auch die Kirchen durch verschiedene Angebote.,['Das kostet normalerweise kein Geld. Auch Kirchen helfen.'],[0.5655975341796875]
3538,"Auch dies ist ein Weg, Nachteilsausgleiche im Ausland leichter in Anspruch nehmen zu können.",['Damit können Sie Vorteile bekommen.'],[0.4846898317337036]
3539,Der Ausweis hat die Grundfarbe grün.,['Es gibt den grünen Behinderten-Ausweis.'],[0.6337438225746155]
3540,Der Schwerbehindertenausweis wird als Plastikkarte ausgestellt.,"['Den Ausweis bekommen Sie beim Versorgungs-Amt von Ihrem Wohn-Ort.', 'Wie sieht der Ausweis aus?', 'Es gibt 2 Ausweise.', 'Auf der Vorder-Seite steht: Für wie lange ist der Ausweis.', 'Wie lange gilt der Ausweis. Und es gibt den grün-roten Behinderten-Ausweis.', 'Man sagt auch: der Freifahrt-Ausweis.', 'Dafür brauchen Sie ein Merk-Zeichen.', 'Merk-Zeichen im Behinderten-Ausweis Auf der Rück-Seite vom Behinderten-Ausweis stehen vielleicht Merk-Zeichen.', 'Dafür brauchen Sie ein Beiblatt und eine Wertmarke.', 'Die Wertmarke bekommen Sie auch dort.', 'Die Wertmarke müssen Sie bezahlen.', 'Den Ausweis verlängern Auf der Vorder-Seite vom Behinderten-Ausweis steht, bis wann der Ausweis geht.', 'Sie können den Ausweis 2 mal verlängern.', 'Danach brauchen Sie einen neuen Ausweis.']","[0.3579742908477783, 0.45068514347076416, 0.3893776535987854, 0.354790598154068, 0.5289996862411499, 0.4059019088745117, 0.2731185555458069, 0.643168568611145, 0.37155431509017944, 0.2580893933773041, 0.29192543029785156, 0.5672425031661987, 0.2853330969810486, 0.3380430042743683]"
3541,Der deutsche Schwerbehindertenausweis enthält aber einen Hinweis auf die Schwerbehinderteneigenschaft in englischer Sprache.,"['Im Behinderten-Ausweis steht eine Zahl zwischen 20 und 100. Das ist der Grad der Behinderung.', 'Auf der Rück-Seite von dem Ausweis steht: Wie schwer ist die Behinderung.']","[0.47965100407600403, 0.4974365532398224]"
3542,"Der englische Hinweis erleichtert aber den Nachweis im Ausland, wenn es dort für schwerbehinderte Menschen besondere Regelungen gibt( z. B. ermäßigter Eintritt).","['Den grün-roten Ausweis können bekommen zum Beispiel: Menschen mit einer Geh-Behinderung, hilflose Menschen, Gehörlose Menschen, Blinde Menschen.', 'Mit dem Ausweis haben sie Vorteile. Zum Beispiel: Vielleicht können Sie kostenlos mit Bus oder Bahn fahren. Oder Sie können auf Behinderten-Parkplätzen parken.']","[0.5400320887565613, 0.5524525046348572]"
3543,Die Regelungen in den Mitgliedstaaten über Sozialleistungen für behinderte und schwerbehinderte Menschen sind vielmehr sehr unterschiedlich.,"['Wie schwer ist die Behinderung?', 'Wenn der Grad der Behinderung 50 oder mehr ist, dann ist die Person schwer-behindert.']","[0.3695354461669922, 0.41152071952819824]"
3544,Dies ist aber gegenwärtig nicht der Fall.,"['Es gibt jetzt eine neue Regelung.', 'Die alten Strecken-Verzeichnisse gelten nicht mehr.']","[0.24038836359977722, 0.3027845025062561]"
